City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sterling,US,39.0062,-77.4286,92.41,68,40,5.01,scattered clouds
80,Bosaso,SO,11.2842,49.1816,88.59,60,67,3.42,broken clouds
81,Palu,ID,-0.8917,119.8707,75.83,94,88,2.3,overcast clouds
82,Lompoc,US,34.6391,-120.4579,71.85,96,100,3.44,mist
83,Laguna,US,38.421,-121.4238,72.34,74,0,5.75,clear sky
84,Mayo,US,38.8876,-76.5119,91.35,69,20,4.61,few clouds
85,Hermanus,ZA,-34.4187,19.2345,58.8,88,100,10.83,light rain
86,Flinders,AU,-34.5833,150.8552,52.38,86,100,1.99,overcast clouds
87,Marawi,PH,7.9986,124.2928,69.35,89,99,1.57,overcast clouds
88,Henties Bay,NA,-22.116,14.2845,56.79,85,22,10.36,few clouds
89,Rieti,IT,42.4072,12.8592,84.18,73,92,5.12,overcast clouds
90,Vaini,TO,-21.2,-175.2,77.16,94,40,10.36,scattered clouds
91,Bambous Virieux,MU,-20.3428,57.7575,70.21,60,73,22.57,broken clouds
92,Darayya,SY,33.459,36.2374,84.96,27,0,11.63,clear sky
93,Ugoofaaru,MV,5.6667,73.0,81.84,83,67,9.73,broken clouds
94,Kavieng,PG,-2.5744,150.7967,79.34,77,100,0.22,overcast clouds
95,Carnot,CF,4.9409,15.8665,76.17,92,99,3.98,moderate rain
96,Cabo San Lucas,MX,22.8909,-109.9124,90.61,67,81,3.15,broken clouds
97,Cherskiy,RU,68.75,161.3,50.09,84,0,4.68,clear sky
98,Olavarria,AR,-36.8927,-60.3225,53.02,67,100,15.64,overcast clouds
99,Camana,PE,-16.6228,-72.7111,63.66,72,43,6.64,scattered clouds
100,Luchegorsk,RU,46.4764,134.2569,60.55,89,76,6.31,broken clouds
101,Hambantota,LK,6.1241,81.1185,79.14,83,20,5.75,few clouds
102,Tautira,PF,-17.7333,-149.15,75.97,75,55,11.59,light rain
103,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,17.27,light rain
104,Batagay,RU,67.6333,134.6333,55.98,71,0,0.94,clear sky
105,Olbia,IT,40.9214,9.4856,86.05,48,0,9.22,clear sky
106,Lavrentiya,RU,65.5833,-171.0,45.23,75,89,6.71,overcast clouds
107,Flin Flon,CA,54.7682,-101.865,64.24,45,8,3.29,clear sky
108,Bengkulu,ID,-3.8004,102.2655,76.39,90,49,4.45,scattered clouds
109,Belen,TR,36.4891,36.2233,77.14,61,40,17.27,scattered clouds
110,Kawalu,ID,-7.3817,108.2082,72.5,97,86,0.76,overcast clouds
111,Uribia,CO,11.7139,-72.266,91.6,49,100,22.62,overcast clouds
112,Anito,PH,12.4497,125.2886,78.37,88,68,2.73,broken clouds
113,Pisco,PE,-13.7,-76.2167,62.02,79,27,6.67,scattered clouds
114,Darhan,MN,49.4867,105.9228,57.63,93,76,4.52,broken clouds
115,Port Hedland,AU,-20.3167,118.5667,59.05,67,31,8.05,scattered clouds
116,Tasiilaq,GL,65.6145,-37.6368,42.96,72,10,1.57,clear sky
117,Xining,CN,36.6167,101.7667,66.54,91,100,1.7,overcast clouds
118,Khandbari,NP,27.3747,87.2039,74.28,91,88,2.93,overcast clouds
119,Touros,BR,-5.1989,-35.4608,83.91,53,8,16.13,clear sky
120,Cedar City,US,37.6775,-113.0619,75.4,64,0,6.91,clear sky
121,Tuktoyaktuk,CA,69.4541,-133.0374,43.11,91,100,20.74,light rain
122,Deputatskiy,RU,69.3,139.9,49.71,81,0,0.96,clear sky
123,Makakilo City,US,21.3469,-158.0858,76.75,68,100,5.75,overcast clouds
124,Ballina,AU,-28.8667,153.5667,51.01,98,98,6.42,overcast clouds
125,Mount Isa,AU,-20.7333,139.5,49.77,50,0,0.0,clear sky
126,Macia,MZ,-25.0269,33.0989,70.7,57,0,5.26,clear sky
127,Butaritari,KI,3.0707,172.7902,81.52,78,99,14.61,overcast clouds
128,Provideniya,RU,64.3833,-173.3,48.85,93,99,5.91,overcast clouds
129,Saldanha,ZA,-33.0117,17.9442,58.35,90,100,5.17,overcast clouds
130,Jamestown,US,42.097,-79.2353,74.95,54,75,4.61,broken clouds
131,Ahipara,NZ,-35.1667,173.1667,48.78,87,96,6.8,overcast clouds
