City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Shieli,KZ,2022-08-09 19:26:57,44.1667,66.75,73.76,32,0,8.97
68,Chokurdakh,RU,2022-08-09 19:26:57,70.6333,147.9167,51.71,88,2,6.76
69,Rivers,CA,2022-08-09 19:26:57,50.0308,-100.2403,72.55,44,3,12.97
70,Dingle,PH,2022-08-09 19:26:57,10.9995,122.6711,74.71,93,35,1.45
71,Balkhash,KZ,2022-08-09 19:26:58,46.844,74.9804,69.78,59,72,9.95
72,Arraial Do Cabo,BR,2022-08-09 19:26:58,-22.9661,-42.0278,73.36,83,75,8.05
73,Rio Cuarto,AR,2022-08-09 19:26:51,-33.1307,-64.3499,57.33,50,20,12.66
74,Chuy,UY,2022-08-09 19:26:59,-33.6971,-53.4616,53.83,69,5,11.3
75,Sur,OM,2022-08-09 19:26:59,22.5667,59.5289,87.44,63,87,12.24
76,Grand Gaube,MU,2022-08-09 19:26:59,-20.0064,57.6608,68.4,71,63,4.0
77,Carnarvon,AU,2022-08-09 19:27:00,-24.8667,113.6333,58.53,59,63,15.32
78,Lebu,CL,2022-08-09 19:27:00,-37.6167,-73.65,52.81,62,100,9.66
79,Saint George,US,2022-08-09 19:24:00,37.1041,-113.5841,98.26,28,0,6.91
80,Acajutla,SV,2022-08-09 19:27:00,13.5928,-89.8275,85.42,65,95,5.23
81,Banda Aceh,ID,2022-08-09 19:27:01,5.5577,95.3222,79.27,84,91,13.78
82,New Norfolk,AU,2022-08-09 19:27:01,-42.7826,147.0587,37.71,87,0,2.66
83,Khatanga,RU,2022-08-09 19:27:01,71.9667,102.5,53.22,76,100,4.72
84,Talnakh,RU,2022-08-09 19:27:02,69.4865,88.3972,51.21,85,59,4.29
85,Supia,CO,2022-08-09 19:27:02,5.453,-75.6507,82.65,53,100,0.58
86,Yellowknife,CA,2022-08-09 19:27:03,62.456,-114.3525,64.92,72,40,10.36
87,Bambous Virieux,MU,2022-08-09 19:27:03,-20.3428,57.7575,68.25,68,75,12.66
88,Nara,JP,2022-08-09 19:26:53,34.6851,135.8049,82.49,67,100,2.8
89,Brae,GB,2022-08-09 19:27:04,60.3964,-1.353,58.64,89,100,25.01
90,Ribeira Grande,PT,2022-08-09 19:27:04,38.5167,-28.7,77.4,73,20,3.44
