City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Manokwari,ID,77.4,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
231,Cockburn Town,TC,81.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
234,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
243,Mbandaka,CD,85.82,scattered clouds,0.0487,18.2603,Guest House Epervier
245,Grafton,US,76.51,overcast clouds,42.207,-71.6856,The Grafton Inn
247,Lafia,NG,84.65,light rain,8.4833,8.5167,Low Cost Housing Estate
250,Tutzing,DE,77.56,clear sky,47.9094,11.2803,Marina Hotel am Starnberger See
254,Celestun,MX,84.7,scattered clouds,20.8667,-90.4,Posada Lilia
255,Conakry,GN,79.68,light rain,9.538,-13.6773,Riviera Royal Hotel
256,Bereda,ES,88.12,light rain,43.2686,-7.5406,Pazo de Verdes
257,Buala,SB,78.31,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
258,Mikuni,JP,79.56,heavy intensity rain,36.2171,136.1519,Seifuso
260,Along,IN,76.12,scattered clouds,28.1667,94.7667,Hotel West
261,Prior Lake,US,81.91,clear sky,44.7133,-93.4227,Mystic Lake Casino Hotel
262,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
266,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
268,Tabuk,PH,75.54,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
271,Harper,LR,76.68,overcast clouds,4.375,-7.7169,Screensaver
277,Wilkinsburg,US,75.56,overcast clouds,40.4417,-79.882,SpringHill Suites by Marriott Pittsburgh Bakery Square
278,Asarganj,IN,80.62,broken clouds,25.15,86.6833,Bhagwan poddar ji.
279,Lasa,IT,80.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
283,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
289,Dawei,MM,75.2,overcast clouds,14.0833,98.2,Hotel Dawei
293,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
294,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
296,Erzin,TR,78.35,broken clouds,36.9559,36.2,Artemis Otel
298,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
300,Lorengau,PG,79.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
303,Coronado,US,89.08,few clouds,32.6859,-117.1831,Hilton San Diego Bayfront
304,Mahajanga,MG,77.5,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
306,Chinchani,IN,80.28,overcast clouds,19.8667,72.7,Vasantshrushti Farm
309,Aiani,GR,87.53,broken clouds,40.1667,21.8167,Elimeia 3 Hotel
311,Rapu-Rapu,PH,82.11,overcast clouds,13.1866,124.1256,Seaview Dormitel
314,Araceli,PH,82.09,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
316,Jinchang,CN,77.32,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
321,Alofi,NU,76.21,clear sky,-19.0595,-169.9187,Taloa Heights
325,Beohari,IN,77.07,overcast clouds,24.05,81.3833,Shivanshu tiwari
326,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
328,Khash,IR,86.76,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
329,Samarai,PG,77.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
332,Murgab,TM,83.44,clear sky,37.4966,61.9714,Wepa Nurlyýew
333,Yenagoa,NG,80.51,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
336,Broome,US,75.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
338,Nouadhibou,MR,76.05,clear sky,20.931,-17.0347,El Medina
342,Barletta,IT,82.67,broken clouds,41.3118,16.2908,Best Western Hotel Dei Cavalieri
344,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
346,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
355,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
357,Waingapu,ID,75.96,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
361,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
362,Bumba,CD,83.64,overcast clouds,2.1833,22.4667,Père Carlos
365,Moa,CU,85.68,few clouds,20.6569,-74.9403,Carmen
366,Feijo,BR,77.88,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
373,Labuhan,ID,78.91,scattered clouds,-6.8844,112.2051,DoubleFAG
374,Dingle,PH,75.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
376,Pitimbu,BR,86.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
377,Kandrian,PG,75.36,overcast clouds,-6.2167,149.55,Kandrian Station
378,Beruwala,LK,78.01,broken clouds,6.4788,79.9828,The Palms Hotel
379,Xicotencatl,MX,87.53,broken clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
380,Matara,LK,76.55,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
388,Saint-Raphael,HT,84.96,few clouds,19.4333,-72.2,Adouly Hôtel
390,Pak Phanang,TH,80.92,overcast clouds,8.3511,100.202,Green Park Inn Hotel
393,Lubao,PH,78.51,light rain,14.9167,120.55,Hacienda Gracia
396,Sola,VU,79.03,few clouds,-13.8833,167.55,Leumerus Bungalows
398,Hamilton,US,81.16,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
399,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
400,Rabo De Peixe,PT,76.51,few clouds,37.8,-25.5833,Quinta das Giestas
403,Progreso,MX,85.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
406,Sampit,ID,75.52,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
407,Muisne,EC,75.0,overcast clouds,0.6,-80.0333,Quinta Samay
409,Coahuayana,MX,88.18,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
410,Tukrah,LY,85.01,clear sky,32.5341,20.5791,Lagrota restaurant
411,Tam Ky,VN,77.81,light rain,15.5667,108.4833,Nhà Nghỉ Phương Hòa
413,Sur,OM,87.69,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
414,Mairi,BR,82.78,clear sky,-11.7114,-40.1489,Pousada Solar do Monte
415,Jawhar,SO,76.05,overcast clouds,2.7809,45.5005,Hotel Shabelle
417,Golden,US,85.15,clear sky,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
422,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
424,Gat,IL,84.81,clear sky,31.61,34.7642,OlusHome
425,Bandarbeyla,SO,77.95,broken clouds,9.4942,50.8122,JABIR HOTEL
427,Bafra,TR,82.81,clear sky,41.5678,35.9069,Sevgi Otel
429,Shenjiamen,CN,81.59,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
432,Nurota,UZ,79.9,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
436,Gushikawa,JP,83.43,clear sky,26.3544,127.8686,Kirari Guest House
438,Lata,PT,84.49,clear sky,40.1629,-8.3327,Casa Maquia
439,Kirakira,SB,77.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
444,Savannah Bight,HN,81.18,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
445,Viesca,MX,82.89,few clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
447,Kantunilkin,MX,86.81,scattered clouds,21.0917,-87.45,Posada Paraiso
448,Hirara,JP,84.99,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
449,Tual,ID,79.47,broken clouds,-5.6667,132.75,Grand Vilia Hotel
455,Razole,IN,81.3,light rain,16.4833,81.8333,Sterling Palavelli Godavari
456,Martapura,ID,75.29,light rain,-3.4167,114.85,Montana Hotel Syariah
458,Pingliang,CN,75.15,broken clouds,35.5392,106.6861,North Gate Hostel
461,Melilla,ES,89.8,few clouds,35.2937,-2.9383,Hotel Anfora
465,Atherton,GB,89.29,clear sky,53.5237,-2.4935,The Mercury Motel
472,West Bay,KY,89.67,scattered clouds,19.3667,-81.4167,Calypso Cove
473,Siniscola,IT,85.55,few clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
476,Mabini,PH,76.15,overcast clouds,15.6,120.9833,MCJ Event Place & Private Resort
477,Chapar,IN,79.81,few clouds,26.2667,90.4667,Mijanur Islam
479,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
480,Syedove,UA,86.67,clear sky,47.0768,38.156,Зеленый дворик - 37
481,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
486,Pathein,MM,76.15,overcast clouds,16.7833,94.7333,Pathein Hotel
487,El Triunfo,EC,78.84,overcast clouds,-1.9333,-79.9667,"""COUNTRY HOUSE"""
489,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
493,Saint George,US,88.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
495,Locri,IT,86.32,broken clouds,38.2414,16.2623,Grand Hotel President
497,Norfolk,US,76.44,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
500,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
506,Nsanje,MW,79.09,clear sky,-16.92,35.262,Nsanje Discovery Lodge
507,Kolokani,ML,84.22,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
508,Zhuhai,CN,80.38,thunderstorm with heavy rain,22.2769,113.5678,珠海粤财假日酒店
510,Pochutla,MX,89.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
511,Ormara,PK,84.16,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
513,Corn Island,NI,81.64,overcast clouds,12.1694,-83.0418,Big Fish Guest House
